Longitude,Latitude,EC1,EC2,Elevation
-120.039888,34.690779,43.9,48.6,327.6
-120.039888,34.690764,37.6,44.3,327.58
-120.039887,34.69075,33.1,43.1,327.555
-120.039888,34.690736,38.5,51.5,327.53
-120.039888,34.690722,41.9,45.9,327.5
-120.039888,34.690709,44.8,51.3,327.45
-120.039887,34.690696,33.2,44.1,327.41
-120.039887,34.690683,36.2,39.1,327.39
-120.039887,34.69067,27.8,32.8,327.37
-120.039887,34.690657,20.4,26.1,327.345
-120.039887,34.690644,14.7,18.1,327.345
-120.039828,34.690659,29.8,44.1,327.445
-120.039828,34.690668,20.4,41.0,327.38
-120.039829,34.690677,23.8,31.9,327.37
-120.03983,34.690688,41.7,36.2,327.37
-120.039831,34.6907,38.8,40.9,327.365
-120.039832,34.690713,37.5,40.3,327.37
-120.039831,34.690727,39.5,47.4,327.395
-120.03983,34.690741,27.6,38.3,327.435
-120.03983,34.690755,27.7,48.2,327.485
-120.039831,34.690769,27.2,41.7,327.535
-120.039831,34.690784,22.9,42.7,327.575
-120.039831,34.690798,32.1,66.3,327.585
-120.039831,34.690813,31.1,43.6,327.585
-120.039831,34.690828,28.9,37.0,327.62
-120.039831,34.690843,29.0,29.2,327.685
-120.039831,34.690859,33.6,32.2,327.74
-120.039831,34.690874,40.6,36.8,327.76
-120.039833,34.690889,34.8,42.1,327.715
-120.039834,34.690905,26.0,39.1,327.675
-120.039833,34.690921,23.9,29.9,327.74
-120.039832,34.690936,15.5,35.5,327.835
-120.039832,34.690951,29.1,35.6,327.89
-120.039832,34.690966,33.6,44.2,327.925
-120.039832,34.69098,29.5,43.4,327.945
-120.039833,34.690995,33.3,41.9,327.965
-120.039835,34.691008,29.4,36.4,327.99
-120.039835,34.691022,33.8,47.5,328.01
-120.039836,34.691037,39.2,59.1,328.01
-120.039837,34.691052,42.8,63.0,327.99
-120.039838,34.691066,40.3,60.1,328.0
-120.039839,34.691081,39.5,55.2,328.05
-120.039839,34.691096,36.0,43.0,328.1
-120.039839,34.69111,25.9,35.4,328.11
-120.039838,34.691125,34.5,49.0,328.095
-120.039837,34.691141,45.2,57.1,328.1
-120.039837,34.691157,56.2,53.4,328.11
-120.039837,34.691173,51.2,58.3,328.105
-120.039837,34.691189,52.8,51.8,328.1
-120.039837,34.691205,47.9,51.5,328.115
-120.039838,34.69122,47.1,45.9,328.14
-120.03984,34.691236,38.8,42.3,328.165
-120.039841,34.691251,36.0,37.1,328.2
-120.039842,34.691266,38.9,47.2,328.23
-120.039844,34.691282,39.9,44.0,328.25
-120.039845,34.691297,33.6,48.1,328.265
-120.039845,34.691313,39.2,54.3,328.28
-120.039845,34.691329,43.3,50.3,328.32
-120.039845,34.691344,43.9,52.5,328.36
-120.039845,34.691359,40.1,52.9,328.4
-120.039844,34.691375,39.3,49.9,328.46
-120.039844,34.69139,43.3,49.1,328.505
-120.039844,34.691406,37.2,56.3,328.545
-120.039844,34.691422,40.0,49.8,328.605
-120.039845,34.691437,31.9,45.7,328.655
-120.039844,34.691452,31.1,57.2,328.735
-120.039844,34.691467,36.0,53.6,328.835
-120.039846,34.691482,29.1,47.4,328.825
-120.039849,34.691497,34.7,57.6,328.77
-120.03985,34.691513,36.9,48.9,328.79
-120.039849,34.691529,27.8,44.4,328.845
-120.039848,34.691545,28.5,52.9,328.885
-120.039848,34.69156,29.8,51.0,328.905
-120.039848,34.691576,28.7,42.4,328.895
-120.039848,34.691592,27.3,50.0,328.855
