Longitude,Latitude,EC1,EC2,Elevation
-120.670807,35.297129,145.2,142.2,80.45
-120.670816,35.297118,131.5,139.6,80.405
-120.67084,35.297084,156.0,180.3,80.32
-120.670848,35.297072,165.8,173.1,80.27
-120.670863,35.297049,140.7,149.1,80.22
-120.670871,35.297037,140.9,142.2,80.175
-120.67088,35.297025,139.5,137.3,80.12
-120.670975,35.29703,165.6,109.9,80.345
-120.670967,35.29704,162.8,132.0,80.35
-120.670958,35.297049,149.4,168.9,80.355
-120.670951,35.297059,135.7,183.5,80.38
-120.670943,35.297069,139.2,163.0,80.405
-120.670935,35.29708,149.3,148.1,80.435
-120.670928,35.297091,153.9,161.5,80.45
-120.670921,35.297102,153.6,168.6,80.46
-120.670913,35.297113,159.3,162.0,80.5
-120.670905,35.297124,169.2,149.9,80.595
-120.670897,35.297135,141.5,140.3,80.625
-120.670889,35.297147,145.3,141.2,80.565
-120.67088,35.297159,131.5,139.0,80.55
-120.670871,35.29717,133.1,151.5,80.56
-120.670862,35.297182,155.1,160.3,80.58
-120.670854,35.297194,131.4,150.7,80.605
-120.670847,35.297206,119.8,141.2,80.6
-120.670838,35.297218,118.7,147.4,80.635
-120.670829,35.297229,114.2,141.7,80.73
-120.670819,35.29724,105.4,130.9,80.805
-120.67081,35.297252,107.3,123.3,80.835
-120.670803,35.297265,97.1,110.0,80.85
-120.670794,35.297277,87.6,115.5,80.905
-120.670785,35.297289,87.1,123.1,80.93
-120.670777,35.297301,82.3,119.3,80.905
-120.670768,35.297313,77.0,118.1,80.87
-120.670759,35.297325,69.3,109.2,80.83
-120.67075,35.297337,71.3,119.1,80.825
-120.670741,35.297349,66.9,100.6,80.835
-120.670731,35.297362,81.1,108.8,80.905
-120.670721,35.297374,83.2,143.8,81.005
-120.670712,35.297386,81.6,122.1,81.08
-120.670701,35.297397,60.1,116.8,81.175
-120.67069,35.297408,60.8,94.5,81.26
-120.67068,35.29742,60.8,100.6,81.335
-120.67067,35.297433,68.2,101.5,81.395
-120.670659,35.297444,68.9,81.5,81.43
-120.670648,35.297456,70.3,66.4,81.415
-120.670639,35.297469,65.3,57.8,81.34
-120.67063,35.297482,71.0,55.5,81.275
-120.670621,35.297494,71.7,77.9,81.245
-120.670612,35.297507,73.1,92.0,81.275
-120.670603,35.29752,78.9,97.9,81.27
-120.670594,35.297532,72.6,84.3,81.22
-120.670585,35.297544,72.5,85.4,81.275
-120.670575,35.297557,82.9,97.4,81.385
-120.670565,35.297569,86.9,110.1,81.43
-120.670554,35.29758,85.1,104.3,81.435
-120.670544,35.297592,91.2,99.5,81.47
-120.670536,35.297604,91.8,112.7,81.535
-120.670528,35.297616,90.0,110.9,81.595
-120.670518,35.297628,72.0,85.3,81.65
-120.670508,35.29764,79.5,75.2,81.7
-120.670498,35.297652,78.7,77.1,81.75
-120.670489,35.297664,77.5,77.4,81.84
-120.67048,35.297676,71.9,68.7,81.95
-120.670471,35.297687,64.3,62.9,82.02
-120.67046,35.297698,73.9,58.1,82.04
-120.670449,35.29771,79.6,57.7,82.045
-120.67044,35.297722,79.7,62.5,82.065
-120.670432,35.297734,69.7,60.1,82.075
-120.670424,35.297747,67.5,58.5,82.045
-120.670416,35.29776,68.9,77.7,82.015
-120.670407,35.297772,64.9,61.7,82.06
-120.670398,35.297785,62.8,51.4,82.15
-120.670389,35.297797,57.0,47.2,82.18
-120.67038,35.29781,52.7,44.4,82.18
-120.67037,35.297822,49.1,32.6,82.21
